/User ID            Item     Item description                                                    Timestamp 
,     Cafe Mocha,   Coffee with choco,                                         21/02/2019 21:55:57,
,        Muffins,              Muffin,                                         19/03/2019 11:05:21,
,   Water bottle,   Cold water bottle,                                         19/03/2019 11:17:13,
,   Water bottle,   Cold water bottle,                                         19/03/2019 11:17:13,
,        Muffins,              Muffin,                                         19/03/2019 11:17:24,
,        Muffins,              Muffin,                                         19/03/2019 11:17:24,
,        Muffins,              Muffin,                                         19/03/2019 11:17:24,
,        Muffins,              Muffin,                                         19/03/2019 11:17:24,
,        Muffins,              Muffin,                                         19/03/2019 11:17:24,
,    Apple juice, Cold 100% apple juice,                                         19/03/2019 11:19:34,
,    Apple juice, Cold 100% apple juice,                                         19/03/2019 11:19:34,
,    Apple juice, Cold 100% apple juice,                                         19/03/2019 11:19:34,
,      Croissant,              Pastry,                                         19/03/2019 11:19:46,
,      Croissant,              Pastry,                                         19/03/2019 11:19:46,
,      Croissant,              Pastry,                                         19/03/2019 11:19:46,
, Double espresso, Double shot of espresso,                                         19/03/2019 11:22:16,
, Double espresso, Double shot of espresso,                                         19/03/2019 11:22:16,
, Double espresso, Double shot of espresso,                                         19/03/2019 11:22:16,
, Double espresso, Double shot of espresso,                                         19/03/2019 11:22:16,
,   Water bottle,   Cold water bottle,                                         19/03/2019 11:27:47,
,   Water bottle,   Cold water bottle,                                         19/03/2019 11:27:47,
,   Water bottle,   Cold water bottle,                                         19/03/2019 11:27:47,
,            Tea, Selection of herbal tea,                                         19/03/2019 11:28:09,
,            Tea, Selection of herbal tea,                                         19/03/2019 11:28:09,
,            Tea, Selection of herbal tea,                                         19/03/2019 11:28:09,
,            Tea, Selection of herbal tea,                                         19/03/2019 11:28:09,
,            Tea, Selection of herbal tea,                                         19/03/2019 11:28:09,
